date,description,amount,balance
2026-09-10,배달의민족,17700원,2982300
2026-07-03,무신사,52500원,2929800
2026-07-17,배달의민족,21300원,2908500
2026-09-28,스타벅스 강남점,7500원,2901000
2026-09-12,이마트 성수점,36900원,2864100
2026-09-14,쿠팡,82100원,2782000
2026-08-14,넷플릭스,13500원,2768500
2026-08-26,요기요,23400원,2745100
2026-07-31,SKT 통신요금,68300원,2676800
2026-07-28,배달의민족,13700원,2663100
2026-08-04,쿠팡,79400원,2583700
2026-08-28,메가커피,4500원,2579200
2026-08-12,스타벅스 강남점,7900원,2571300
2026-08-16,쿠팡,60200원,2511100
2026-08-26,배달의민족,20600원,2490500
2026-09-20,요기요,20000원,2470500
2026-08-07,무신사,58700원,2411800
2026-09-19,메가커피,3500원,2408300
2026-08-25,쿠팡,27900원,2380400
2026-07-01,올리브영,19100원,2361300
2026-08-01,GS25 역삼점,8200원,2353100
2026-09-21,카카오T택시,10300원,2342800
2026-09-27,SKT 통신요금,72100원,2270700
2026-07-04,배달의민족,21700원,2249000
2026-07-13,GS25 역삼점,3800원,2245200
2026-07-28,스타벅스 강남점,6700원,2238500
2026-08-31,배달의민족,13000원,2225500
2026-08-20,월세,550000원,1675500
2026-08-17,요기요,16000원,1659500
2026-08-13,카카오T택시,17200원,1642300
2026-08-19,GS25 역삼점,5800원,1636500
2026-07-16,무신사,38900원,1597600
2026-07-30,스타벅스 강남점,7900원,1589700
2026-07-29,배달의민족,19900원,1569800
2026-09-09,교보문고,13300원,1556500
2026-08-30,메가커피,4200원,1552300
2026-07-05,배달의민족,15500원,1536800
2026-09-10,쿠팡,25100원,1511700
2026-08-28,넷플릭스,13500원,1498200
2026-07-23,GS25 역삼점,11800원,1486400
2026-08-02,요기요,19900원,1466500
2026-07-12,스타벅스 강남점,6900원,1459600
2026-09-13,이마트 성수점,50600원,1409000
2026-09-02,쿠팡,79300원,1329700
2026-08-10,배달의민족,28100원,1301600
2026-08-24,이마트 성수점,83300원,1218300
2026-08-22,SKT 통신요금,68500원,1149800
2026-09-14,카카오T택시,15400원,1134400
2026-07-05,메가커피,4600원,1129800
2026-07-13,배달의민족,25000원,1104800
2026-07-17,올리브영,36600원,1068200
2026-07-04,올리브영,9600원,1058600
2026-09-23,CGV,23800원,1034800
2026-07-02,배달의민족,22800원,1012000
2026-09-11,GS25 역삼점,8300원,1003700
2026-09-10,월세,550000원,453700
2026-08-13,쿠팡와우,4900원,448800
2026-09-28,배달의민족,28100원,420700
2026-07-11,올리브영,35600원,385100
2026-08-11,쿠팡,34500원,350600
2026-09-12,넷플릭스,13500원,337100
2026-07-27,무신사,20900원,316200
2026-08-22,카카오T택시,13000원,303200
2026-09-03,배달의민족,23800원,279400
2026-08-27,이마트 성수점,81900원,197500
2026-08-28,서울대병원약국,8600원,188900
2026-09-18,쿠팡,84800원,104100
2026-07-18,스타벅스 강남점,6600원,97500
2026-07-28,쿠팡와우,4900원,92600
2026-07-19,배달의민족,19100원,73500
2026-07-01,배달의민족,19000원,54500
2026-07-18,이마트 성수점,78100원,-23600
2026-08-15,요기요,26900원,-50500
2026-09-20,올리브영,14300원,-64800
2026-09-15,무신사,54300원,-119100
2026-08-23,요기요,21700원,-140800
2026-09-21,쿠팡,46000원,-186800
2026-09-06,메가커피,2700원,-189500
2026-07-05,무신사,39500원,-229000
2026-07-25,스타벅스 강남점,6600원,-235600
2026-09-26,카카오T택시,6900원,-242500
2026-09-24,교보문고,14700원,-257200
2026-09-13,CGV,19100원,-276300
2026-08-16,요기요,25100원,-301400
2026-08-15,이마트 성수점,69100원,-370500
2026-09-19,스타벅스 강남점,7600원,-378100
2026-09-09,GS25 역삼점,9600원,-387700
2026-08-19,서울대병원약국,18700원,-406400
2026-09-02,메가커피,3900원,-410300
2026-09-15,배달의민족,19500원,-429800
2026-07-25,CGV,24700원,-454500
2026-09-03,GS25 역삼점,6600원,-461100
2026-09-09,스타벅스 강남점,7500원,-468600
2026-08-22,메가커피,4300원,-472900
2026-07-18,무신사,29800원,-502700
2026-08-31,카카오T택시,14000원,-516700
2026-08-31,이마트 성수점,32100원,-548800
2026-08-24,스타벅스 강남점,7100원,-555900
2026-09-30,배달의민족,19600원,-575500
2026-09-07,월세,550000원,-1125500
2026-07-08,스타벅스 강남점,7600원,-1133100
2026-07-16,넷플릭스,13500원,-1146600
2026-07-19,쿠팡와우,4900원,-1151500
2026-09-11,배달의민족,19300원,-1170800
2026-08-06,CGV,18200원,-1189000
2026-07-11,요기요,24700원,-1213700
2026-08-05,월세,550000원,-1763700
2026-08-08,요기요,17200원,-1780900
2026-09-22,쿠팡,79200원,-1860100
2026-09-12,스타벅스 강남점,6800원,-1866900
2026-08-03,무신사,68100원,-1935000
2026-07-21,쿠팡,83000원,-2018000
2026-07-25,GS25 역삼점,5900원,-2023900
2026-09-16,SKT 통신요금,63900원,-2087800
2026-08-15,스타벅스 강남점,6500원,-2094300
2026-08-13,배달의민족,12900원,-2107200
2026-07-22,SKT 통신요금,72100원,-2179300
2026-09-13,요기요,19800원,-2199100
2026-07-03,GS25 역삼점,5900원,-2205000
2026-09-01,올리브영,34100원,-2239100
2026-07-21,이마트 성수점,59300원,-2298400
2026-09-03,카카오T택시,8300원,-2306700
2026-08-31,요기요,26100원,-2332800
2026-09-05,메가커피,4200원,-2337000
2026-08-24,SKT 통신요금,72200원,-2409200
2026-09-03,요기요,17600원,-2426800
2026-07-16,GS25 역삼점,11100원,-2437900
2026-09-08,요기요,21400원,-2459300
2026-08-28,쿠팡와우,4900원,-2464200
2026-09-10,메가커피,3100원,-2467300
2026-07-27,카카오T택시,16900원,-2484200
2026-08-30,스타벅스 강남점,7600원,-2491800
2026-07-25,메가커피,4900원,-2496700
2026-07-05,SKT 통신요금,62800원,-2559500
2026-09-17,카카오T택시,10700원,-2570200
2026-07-14,이마트 성수점,51800원,-2622000
2026-07-09,GS25 역삼점,3200원,-2625200
2026-09-12,배달의민족,25400원,-2650600
2026-08-17,카카오T택시,18700원,-2669300
2026-09-30,요기요,16000원,-2685300
2026-09-24,CGV,26600원,-2711900
2026-09-26,쿠팡,67100원,-2779000
2026-09-04,요기요,17400원,-2796400
2026-08-28,무신사,47100원,-2843500
2026-07-23,카카오T택시,8700원,-2852200
2026-09-12,지하철 정기권,55000원,-2907200
2026-07-01,GS25 역삼점,4300원,-2911500
2026-09-21,SKT 통신요금,60700원,-2972200
2026-09-16,쿠팡와우,4900원,-2977100
2026-09-04,GS25 역삼점,11200원,-2988300
2026-08-18,카카오T택시,13500원,-3001800
2026-08-29,요기요,26000원,-3027800
2026-07-16,SKT 통신요금,61900원,-3089700
2026-07-07,이마트 성수점,63100원,-3152800
2026-08-04,스타벅스 강남점,4900원,-3157700
2026-08-03,SKT 통신요금,67200원,-3224900
2026-09-11,쿠팡,27400원,-3252300
2026-07-06,SKT 통신요금,78400원,-3330700
2026-08-05,이마트 성수점,30200원,-3360900
2026-08-05,쿠팡,25100원,-3386000
2026-09-15,GS25 역삼점,11400원,-3397400
2026-09-19,배달의민족,26100원,-3423500
2026-07-17,스타벅스 강남점,5300원,-3428800
2026-07-20,GS25 역삼점,9800원,-3438600
2026-09-24,스타벅스 강남점,5500원,-3444100
2026-09-12,무신사,47900원,-3492000
2026-08-11,배달의민족,26100원,-3518100
2026-09-11,메가커피,3600원,-3521700
2026-07-29,쿠팡,17600원,-3539300
2026-08-01,쿠팡,34500원,-3573800
2026-09-05,쿠팡,82200원,-3656000
2026-08-07,올리브영,19700원,-3675700
2026-09-24,지하철 정기권,55000원,-3730700
2026-09-01,메가커피,2800원,-3733500
2026-08-20,무신사,65400원,-3798900
2026-07-13,쿠팡,34000원,-3832900
2026-08-13,쿠팡,75400원,-3908300
