거래일,내용,출금액,입금액
2026-09-10,배달의민족,17700,
2026-07-03,무신사,52500,
2026-07-17,배달의민족,21300,
2026-09-28,스타벅스 강남점,7500,
2026-09-12,이마트 성수점,36900,
2026-09-14,쿠팡,82100,
2026-08-14,넷플릭스,13500,
2026-08-26,요기요,23400,
2026-07-31,SKT 통신요금,68300,
2026-07-28,배달의민족,13700,
2026-08-04,쿠팡,79400,
2026-08-28,메가커피,4500,
2026-08-12,스타벅스 강남점,7900,
2026-08-16,쿠팡,60200,
2026-08-26,배달의민족,20600,
2026-09-20,요기요,20000,
2026-08-07,무신사,58700,
2026-09-19,메가커피,3500,
2026-08-25,쿠팡,27900,
2026-07-01,올리브영,19100,
2026-08-01,GS25 역삼점,8200,
2026-09-21,카카오T택시,10300,
2026-09-27,SKT 통신요금,72100,
2026-07-04,배달의민족,21700,
2026-07-13,GS25 역삼점,3800,
2026-07-28,스타벅스 강남점,6700,
2026-08-31,배달의민족,13000,
2026-08-20,월세,550000,
2026-08-17,요기요,16000,
2026-08-13,카카오T택시,17200,
2026-08-19,GS25 역삼점,5800,
2026-07-16,무신사,38900,
2026-07-30,스타벅스 강남점,7900,
2026-07-29,배달의민족,19900,
2026-09-09,교보문고,13300,
2026-08-30,메가커피,4200,
2026-07-05,배달의민족,15500,
2026-09-10,쿠팡,25100,
2026-08-28,넷플릭스,13500,
2026-07-23,GS25 역삼점,11800,
2026-08-02,요기요,19900,
2026-07-12,스타벅스 강남점,6900,
2026-09-13,이마트 성수점,50600,
2026-09-02,쿠팡,79300,
2026-08-10,배달의민족,28100,
2026-08-24,이마트 성수점,83300,
2026-08-22,SKT 통신요금,68500,
2026-09-14,카카오T택시,15400,
2026-07-05,메가커피,4600,
2026-07-13,배달의민족,25000,
2026-07-17,올리브영,36600,
2026-07-04,올리브영,9600,
2026-09-23,CGV,23800,
2026-07-02,배달의민족,22800,
2026-09-11,GS25 역삼점,8300,
2026-09-10,월세,550000,
2026-08-13,쿠팡와우,4900,
2026-09-28,배달의민족,28100,
2026-07-11,올리브영,35600,
2026-08-11,쿠팡,34500,
2026-09-12,넷플릭스,13500,
2026-07-27,무신사,20900,
2026-08-22,카카오T택시,13000,
2026-09-03,배달의민족,23800,
2026-08-27,이마트 성수점,81900,
2026-08-28,서울대병원약국,8600,
2026-09-18,쿠팡,84800,
2026-07-18,스타벅스 강남점,6600,
2026-07-28,쿠팡와우,4900,
2026-07-19,배달의민족,19100,
2026-07-01,배달의민족,19000,
2026-07-18,이마트 성수점,78100,
2026-08-15,요기요,26900,
2026-09-20,올리브영,14300,
2026-09-15,무신사,54300,
2026-08-23,요기요,21700,
2026-09-21,쿠팡,46000,
2026-09-06,메가커피,2700,
2026-07-05,무신사,39500,
2026-07-25,스타벅스 강남점,6600,
2026-09-26,카카오T택시,6900,
2026-09-24,교보문고,14700,
2026-09-13,CGV,19100,
2026-08-16,요기요,25100,
2026-08-15,이마트 성수점,69100,
2026-09-19,스타벅스 강남점,7600,
2026-09-09,GS25 역삼점,9600,
2026-08-19,서울대병원약국,18700,
2026-09-02,메가커피,3900,
2026-09-15,배달의민족,19500,
2026-07-25,CGV,24700,
2026-09-03,GS25 역삼점,6600,
2026-09-09,스타벅스 강남점,7500,
2026-08-22,메가커피,4300,
2026-07-18,무신사,29800,
2026-08-31,카카오T택시,14000,
2026-08-31,이마트 성수점,32100,
2026-08-24,스타벅스 강남점,7100,
2026-09-30,배달의민족,19600,
2026-09-07,월세,550000,
2026-07-08,스타벅스 강남점,7600,
2026-07-16,넷플릭스,13500,
2026-07-19,쿠팡와우,4900,
2026-09-11,배달의민족,19300,
2026-08-06,CGV,18200,
2026-07-11,요기요,24700,
2026-08-05,월세,550000,
2026-08-08,요기요,17200,
2026-09-22,쿠팡,79200,
2026-09-12,스타벅스 강남점,6800,
2026-08-03,무신사,68100,
2026-07-21,쿠팡,83000,
2026-07-25,GS25 역삼점,5900,
2026-09-16,SKT 통신요금,63900,
2026-08-15,스타벅스 강남점,6500,
2026-08-13,배달의민족,12900,
2026-07-22,SKT 통신요금,72100,
2026-09-13,요기요,19800,
2026-07-03,GS25 역삼점,5900,
2026-09-01,올리브영,34100,
2026-07-21,이마트 성수점,59300,
2026-09-03,카카오T택시,8300,
2026-08-31,요기요,26100,
2026-09-05,메가커피,4200,
2026-08-24,SKT 통신요금,72200,
2026-09-03,요기요,17600,
2026-07-16,GS25 역삼점,11100,
2026-09-08,요기요,21400,
2026-08-28,쿠팡와우,4900,
2026-09-10,메가커피,3100,
2026-07-27,카카오T택시,16900,
2026-08-30,스타벅스 강남점,7600,
2026-07-25,메가커피,4900,
2026-07-05,SKT 통신요금,62800,
2026-09-17,카카오T택시,10700,
2026-07-14,이마트 성수점,51800,
2026-07-09,GS25 역삼점,3200,
2026-09-12,배달의민족,25400,
2026-08-17,카카오T택시,18700,
2026-09-30,요기요,16000,
2026-09-24,CGV,26600,
2026-09-26,쿠팡,67100,
2026-09-04,요기요,17400,
2026-08-28,무신사,47100,
2026-07-23,카카오T택시,8700,
2026-09-12,지하철 정기권,55000,
2026-07-01,GS25 역삼점,4300,
2026-09-21,SKT 통신요금,60700,
2026-09-16,쿠팡와우,4900,
2026-09-04,GS25 역삼점,11200,
2026-08-18,카카오T택시,13500,
2026-08-29,요기요,26000,
2026-07-16,SKT 통신요금,61900,
2026-07-07,이마트 성수점,63100,
2026-08-04,스타벅스 강남점,4900,
2026-08-03,SKT 통신요금,67200,
2026-09-11,쿠팡,27400,
2026-07-06,SKT 통신요금,78400,
2026-08-05,이마트 성수점,30200,
2026-08-05,쿠팡,25100,
2026-09-15,GS25 역삼점,11400,
2026-09-19,배달의민족,26100,
2026-07-17,스타벅스 강남점,5300,
2026-07-20,GS25 역삼점,9800,
