승인일자,가맹점명,이용금액,적요
2026-09-10,배달의민족,17700,일시불
2026-07-03,무신사,52500,일시불
2026-07-17,배달의민족,21300,일시불
2026-09-28,스타벅스 강남점,7500,일시불
2026-09-12,이마트 성수점,36900,일시불
2026-09-14,쿠팡,82100,일시불
2026-08-14,넷플릭스,13500,일시불
2026-08-26,요기요,23400,일시불
2026-07-31,SKT 통신요금,68300,일시불
2026-07-28,배달의민족,13700,일시불
2026-08-04,쿠팡,79400,일시불
2026-08-28,메가커피,4500,일시불
2026-08-12,스타벅스 강남점,7900,일시불
2026-08-16,쿠팡,60200,일시불
2026-08-26,배달의민족,20600,일시불
2026-09-20,요기요,20000,일시불
2026-08-07,무신사,58700,일시불
2026-09-19,메가커피,3500,일시불
2026-08-25,쿠팡,27900,일시불
2026-07-01,올리브영,19100,일시불
2026-08-01,GS25 역삼점,8200,일시불
2026-09-21,카카오T택시,10300,일시불
2026-09-27,SKT 통신요금,72100,일시불
2026-07-04,배달의민족,21700,일시불
2026-07-13,GS25 역삼점,3800,일시불
2026-07-28,스타벅스 강남점,6700,일시불
2026-08-31,배달의민족,13000,일시불
2026-08-20,월세,550000,일시불
2026-08-17,요기요,16000,일시불
2026-08-13,카카오T택시,17200,일시불
2026-08-19,GS25 역삼점,5800,일시불
2026-07-16,무신사,38900,일시불
2026-07-30,스타벅스 강남점,7900,일시불
2026-07-29,배달의민족,19900,일시불
2026-09-09,교보문고,13300,일시불
2026-08-30,메가커피,4200,일시불
2026-07-05,배달의민족,15500,일시불
2026-09-10,쿠팡,25100,일시불
2026-08-28,넷플릭스,13500,일시불
2026-07-23,GS25 역삼점,11800,일시불
2026-08-02,요기요,19900,일시불
2026-07-12,스타벅스 강남점,6900,일시불
2026-09-13,이마트 성수점,50600,일시불
2026-09-02,쿠팡,79300,일시불
2026-08-10,배달의민족,28100,일시불
2026-08-24,이마트 성수점,83300,일시불
2026-08-22,SKT 통신요금,68500,일시불
2026-09-14,카카오T택시,15400,일시불
2026-07-05,메가커피,4600,일시불
2026-07-13,배달의민족,25000,일시불
2026-07-17,올리브영,36600,일시불
2026-07-04,올리브영,9600,일시불
2026-09-23,CGV,23800,일시불
2026-07-02,배달의민족,22800,일시불
2026-09-11,GS25 역삼점,8300,일시불
2026-09-10,월세,550000,일시불
2026-08-13,쿠팡와우,4900,일시불
2026-09-28,배달의민족,28100,일시불
2026-07-11,올리브영,35600,일시불
2026-08-11,쿠팡,34500,일시불
2026-09-12,넷플릭스,13500,일시불
2026-07-27,무신사,20900,일시불
2026-08-22,카카오T택시,13000,일시불
2026-09-03,배달의민족,23800,일시불
2026-08-27,이마트 성수점,81900,일시불
2026-08-28,서울대병원약국,8600,일시불
